file_name,column_name,description,data_type,units,allowed_values_or_range,missing_value_meaning,source_or_derivation
data/processed/bootstrap_csf/p04_l200.csv.gz,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l200.csv.gz,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l200.csv.gz,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l300.csv.gz,source_input_index,Zero-based CSF file number; 0 is deterministic primary CSF; 1-9999 are available resampled inputs; linkage to saved fits unresolved,integer,file index,0..9999,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l300.csv.gz,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l300.csv.gz,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l300.csv.gz,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l370.csv.gz,source_input_index,Zero-based CSF file number; 0 is deterministic primary CSF; 1-9999 are available resampled inputs; linkage to saved fits unresolved,integer,file index,0..9999,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l370.csv.gz,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l370.csv.gz,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p04_l370.csv.gz,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,saved_fit_row,One-based row in original saved AoE fitted list; not a verified original bootstrap iteration ID,integer,row index,1..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,f_pref_cpd,Preferred ordinary spatial frequency in the original saved fitted list; source precision is four decimals,number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,nrmse,RMSE divided by mean observed sensitivity; source metric uses interpolated fitted values at observed frequencies,number,dimensionless,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,mape_percent,Mean absolute percentage error from original saved fit-quality column,number,percent,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,rmse,Root mean square error in original saved fit-quality column,number,contrast sensitivity units,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,mae,Mean absolute error in original saved fit-quality column,number,contrast sensitivity units,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,retained_for_summary,Passes inclusive NRMSE range 0-0.3 and f_pref strictly greater than 1.05 cpd,boolean,,True|False,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,exclusion_reason,Applied exclusion rule or explicit marker that the author rationale was not recorded; blank means no exclusion for this row,string,,,No exclusion/warning/error for this row; unknown rationale is explicitly labelled.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,fit_success_recorded,Historical fit-success flag was not supplied; no value has been invented,boolean or missing,,empty in every archived row,Historical success metadata absent for every saved fit; deliberately blank.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_fpref.csv.gz,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_curves_recomputed.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_curves_recomputed.csv,curve_index,Zero-based numerical curve sample index,integer,index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_curves_recomputed.csv,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_curves_recomputed.csv,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,baseline_fit_peak_cpd,Maximum-grid location of a primary CSF fitted by the current helper,number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,nrmse,RMSE divided by mean observed sensitivity; source metric uses interpolated fitted values at observed frequencies,number,dimensionless,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,n_fit_points,Number of retained primary measurements used in current CSF fit,integer,count,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,grid_min_cpd,Lower endpoint of current-helper fitted-frequency grid,number,cycles/degree,0.1,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,grid_max_exclusive_cpd,Exclusive upper endpoint of current-helper arange frequency grid,number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,warning_count,Number of numerical warnings captured during the fit; repeated messages are summarized separately,integer,count,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,warnings,Distinct numerical warning messages or recorded exception text,string,,,No exclusion/warning/error for this row; unknown rationale is explicitly labelled.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_metrics_recomputed.csv,status,"Provenance, execution or verification status; execution is not certification of historical agreement",string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_parameters_recomputed.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_parameters_recomputed.csv,parameter,Empirical CSF parameter name; see config/analysis_config.json,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_parameters_recomputed.csv,value,"Parameter value, without added rounding; status identifies whether it is literal source metadata or newly recomputed",number,units column or model-specific parameterization,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_parameters_recomputed.csv,units,Documented unit string; unconfirmed means no definitive unit was established,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_fit_parameters_recomputed.csv,status,"Provenance, execution or verification status; execution is not certification of historical agreement",string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,contrast_threshold,Reciprocal of the archived primary contrast sensitivity,number,normalized source contrast,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,included_in_csf_fit,Primary point is retained by the supplied final plotting driver for empirical curve fitting; all points remain deposited/plotted,boolean,,True|False,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/csf_thresholds.csv,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,figure,Manuscript figure identifier or coverage group,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,panel,Manuscript panel intended by the supplied plotting selection; see source_status,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,curve_index,Zero-based numerical curve sample index,integer,index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_curves_recomputed.csv,source_status,Distinguishes archived source selection from recomputed curves not certified against the embedded manuscript figure,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,figure,Manuscript figure identifier or coverage group,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,panel,Manuscript panel intended by the supplied plotting selection; see source_status,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,contrast_threshold,Reciprocal of the archived primary contrast sensitivity,number,normalized source contrast,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,included_in_csf_fit,Primary point is retained by the supplied final plotting driver for empirical curve fitting; all points remain deposited/plotted,boolean,,True|False,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_csf_points.csv,source_status,Distinguishes archived source selection from recomputed curves not certified against the embedded manuscript figure,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,figure,Manuscript figure identifier or coverage group,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,panel,Manuscript panel intended by the supplied plotting selection; see source_status,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,f_pref_mean_cpd,Arithmetic mean of saved preferred frequencies retained by supplied quality rules,number,cycles/degree,>1.05,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,percentile_2_5_cpd,"2.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,percentile_97_5_cpd,"97.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,n_saved_fits,Number of rows available in original saved fit file,integer,count,10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,n_pass_nrmse,Number of saved rows satisfying 0 <= NRMSE <= 0.3,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,n_retained,Number of saved rows retained after both PSF quality rules,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,n_excluded,Number of saved rows rejected by either PSF quality rule,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure2_psf_points.csv,source_status,Distinguishes archived source selection from recomputed curves not certified against the embedded manuscript figure,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,figure,Manuscript figure identifier or coverage group,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,panel,Manuscript panel intended by the supplied plotting selection; see source_status,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,f_pref_mean_cpd,Arithmetic mean of saved preferred frequencies retained by supplied quality rules,number,cycles/degree,>1.05,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,percentile_2_5_cpd,"2.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,percentile_97_5_cpd,"97.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,n_saved_fits,Number of rows available in original saved fit file,integer,count,10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,n_pass_nrmse,Number of saved rows satisfying 0 <= NRMSE <= 0.3,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,n_retained,Number of saved rows retained after both PSF quality rules,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,n_excluded,Number of saved rows rejected by either PSF quality rule,integer,count,0..10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/figure_source_data/figure3_psf_points.csv,source_status,Distinguishes archived source selection from recomputed curves not certified against the embedded manuscript figure,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/participants.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/participants.csv,manuscript_subject,Subject number in the manuscript,integer,,1|2|3|4,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/participants.csv,luminance_conditions,Number of selected luminance conditions for the public subject,integer,count,12|6|7,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,participant_id,Public participant identifier; P01-P04 correspond to manuscript Subjects 1-4,string,,P01|P02|P03|P04,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,luminance_cd_m2,Luminance condition used by the supplied plotting/analysis configuration,number,cd/m^2,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,f_pref_mean_cpd,Arithmetic mean of saved preferred frequencies retained by supplied quality rules,number,cycles/degree,>1.05,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,percentile_2_5_cpd,"2.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,percentile_97_5_cpd,"97.5th percentile of retained saved preferred-frequency values, NumPy linear method",number,cycles/degree,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/preferred_frequency.csv,n_saved_fits,Number of rows available in original saved fit file,integer,count,10000,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
